@relation Hailfinder

@attribute WindFieldMt {Westerly,LVorOther}
@attribute MorningCIN {None,PartInhibit,Stifling,TotalInhibit}
@attribute VISCloudCov {Cloudy,PC,Clear}
@attribute IRCloudCover {Cloudy,PC,Clear}
@attribute AMInstabMt {None,Weak,Strong}
@attribute R5Fcst {NIL,SIG,SVR}
@attribute MountainFcst {NIL,SIG,SVR}
@attribute MeanRH {VeryMoist,Average,Dry}
@attribute MidLLapse {CloseToDryAd,Steep,ModerateOrLe}
@attribute RHRatio {MoistMDryL,DryMMoistL,Other}
@attribute LoLevMoistAd {StrongPos,WeakPos,Neutral,Negative}
@attribute LowLLapse {CloseToDryAd,Steep,ModerateOrLe,Stable}
@attribute MvmtFeatures {StrongFront,MarkedUpper,OtherRapid,NoMajor}
@attribute TempDis {QStationary,Moving,None,Other}
@attribute WindAloft {LV,SWQuad,NWQuad,AllElse}
@attribute AMCINInScen {LessThanAve,Average,MoreThanAve}
@attribute CapChange {Decreasing,LittleChange,Increasing}
@attribute SynForcng {SigNegative,NegToPos,SigPositive,PosToNeg,LittleChange}
@attribute SatContMoist {VeryWet,Wet,Neutral,Dry}
@attribute RaoContMoist {VeryWet,Wet,Neutral,Dry}
@attribute CombMoisture {VeryWet,Wet,Neutral,Dry}
@attribute LatestCIN {None,PartInhibit,Stifling,TotalInhibit}
@attribute LLIW {Unfavorable,Weak,Moderate,Strong}
@attribute Date {May15_Jun14,Jun15_Jul1,Jul2_Jul15,Jul16_Aug10,Aug11_Aug20,Aug20_Sep15}
@attribute WindFieldPln {LV,DenvCyclone,LongAnticyc,E_NE,SEQuad,WidespdDnsl}
@attribute Dewpoints {LowEvrywhere,LowAtStation,LowSHighN,LowNHighS,LowMtsHighPl,HighEvrywher,Other}
@attribute SfcWndShfDis {DenvCyclone,E_W_N,E_W_S,MovingFtorOt,DryLine,None,Other}
@attribute InsChange {Decreasing,LittleChange,Increasing}
@attribute MorningBound {None,Weak,Strong}
@attribute OutflowFrMt {None,Weak,Strong}
@attribute WndHodograph {DCVZFavor,StrongWest,Westerly,Other}
@attribute N34StarFcst {NIL,SIG,SVR}
@attribute AreaMoDryAir {VeryWet,Wet,Neutral,Dry}
@attribute CombClouds {Cloudy,PC,Clear}
@attribute ScenRelAMCIN {AB,CThruK}
@attribute LIfr12ZDENSd {LIGt0,N1GtLIGt_4,N5GtLIGt_8,LILt_8}
@attribute AMDewptCalPl {Instability,Neutral,Stability}
@attribute AMInsWliScen {LessUnstable,Average,MoreUnstable}
@attribute N0_7muVerMo {StrongUp,WeakUp,Neutral,Down}
@attribute SubjVertMo {StronUp,WeakUp,Neutral,Down}
@attribute QGVertMotion {StrongUp,WeakUp,Neutral,Down}
@attribute CombVerMo {StrongUp,WeakUp,Neutral,Down}
@attribute AreaMeso_ALS {StrongUp,WeakUp,Neutral,Down}
@attribute CldShadeOth {Cloudy,PC,Clear}
@attribute Boundaries {None,Weak,Strong}
@attribute CldShadeConv {None,Some,Marked}
@attribute InsInMt {None,Weak,Strong}
@attribute ScenRel3_4 {ACEFK,B,D,GJ,HI}
@attribute ScenRelAMIns {ABI,CDEJ,F,G,H,K}
@attribute CompPlFcst {IncCapDecIns,LittleChange,DecCapIncIns}
@attribute CurPropConv {None,Slight,Moderate,Strong}
@attribute Scenario {A,B,C,D,E,F,G,H,I,J,K}
@attribute CapInScen {LessThanAve,Average,MoreThanAve}
@attribute InsSclInScen {LessUnstable,Average,MoreUnstable}
@attribute ScnRelPlFcst {A,B,C,D,E,F,G,H,I,J,K}
@attribute PlainsFcst {NIL,SIG,SVR}

@data
Westerly,Stifling,Cloudy,PC,Weak,NIL,NIL,Average,ModerateOrLe,DryMMoistL,WeakPos,ModerateOrLe,StrongFront,None,AllElse,MoreThanAve,Increasing,SigNegative,Dry,Neutral,Neutral,PartInhibit,Moderate,Jul16_Aug10,SEQuad,Other,E_W_N,Increasing,None,Weak,DCVZFavor,NIL,Dry,Cloudy,CThruK,N5GtLIGt_8,Stability,Average,Neutral,WeakUp,Neutral,Neutral,Neutral,Cloudy,Weak,None,Weak,ACEFK,K,IncCapDecIns,None,K,MoreThanAve,Average,K,NIL
LVorOther,PartInhibit,Clear,Clear,None,SIG,SIG,Average,ModerateOrLe,Other,WeakPos,Steep,NoMajor,Other,LV,MoreThanAve,LittleChange,LittleChange,Wet,Wet,Wet,PartInhibit,Unfavorable,Jul2_Jul15,LV,LowAtStation,None,Decreasing,None,Strong,Westerly,NIL,Neutral,Clear,CThruK,N1GtLIGt_4,Instability,MoreUnstable,Neutral,WeakUp,WeakUp,Neutral,Neutral,Clear,Weak,Some,Strong,GJ,CDEJ,LittleChange,None,J,MoreThanAve,Average,J,NIL
LVorOther,PartInhibit,Cloudy,Cloudy,None,NIL,NIL,Dry,ModerateOrLe,DryMMoistL,Neutral,CloseToDryAd,MarkedUpper,None,SWQuad,Average,Increasing,SigNegative,VeryWet,VeryWet,VeryWet,PartInhibit,Weak,Jul16_Aug10,SEQuad,LowSHighN,DryLine,LittleChange,None,None,StrongWest,NIL,Wet,Cloudy,CThruK,N1GtLIGt_4,Stability,LessUnstable,Down,Neutral,Neutral,Down,Down,Cloudy,Weak,None,None,D,CDEJ,IncCapDecIns,Slight,D,MoreThanAve,LessUnstable,D,NIL
LVorOther,Stifling,PC,PC,Weak,NIL,NIL,Average,ModerateOrLe,Other,Neutral,Stable,MarkedUpper,Other,NWQuad,Average,Increasing,PosToNeg,VeryWet,Neutral,VeryWet,PartInhibit,Weak,May15_Jun14,DenvCyclone,HighEvrywher,DenvCyclone,LittleChange,None,None,Other,SIG,Wet,PC,AB,N1GtLIGt_4,Instability,MoreUnstable,Neutral,Neutral,Neutral,Neutral,Neutral,PC,Weak,None,Weak,B,ABI,IncCapDecIns,None,B,MoreThanAve,MoreUnstable,B,SIG
Westerly,PartInhibit,Clear,PC,Strong,NIL,NIL,VeryMoist,CloseToDryAd,MoistMDryL,Negative,ModerateOrLe,NoMajor,Other,SWQuad,Average,LittleChange,SigPositive,Neutral,Neutral,Neutral,None,Weak,Jul2_Jul15,LongAnticyc,LowEvrywhere,E_W_N,Decreasing,None,Weak,Westerly,NIL,Wet,Clear,CThruK,N1GtLIGt_4,Instability,MoreUnstable,Neutral,WeakUp,Down,WeakUp,WeakUp,Clear,Weak,Some,Strong,ACEFK,CDEJ,LittleChange,Slight,C,Average,Average,C,NIL
LVorOther,TotalInhibit,PC,PC,Weak,SVR,SVR,VeryMoist,Steep,Other,WeakPos,ModerateOrLe,StrongFront,Moving,AllElse,MoreThanAve,LittleChange,PosToNeg,Wet,Wet,Neutral,None,Moderate,Aug11_Aug20,DenvCyclone,LowSHighN,E_W_N,LittleChange,None,Strong,Westerly,SIG,Neutral,PC,AB,LIGt0,Instability,LessUnstable,WeakUp,StronUp,Down,Neutral,Neutral,Clear,Strong,Some,Strong,B,ABI,LittleChange,Strong,B,MoreThanAve,LessUnstable,B,SIG
LVorOther,PartInhibit,Clear,PC,Strong,SVR,NIL,Average,ModerateOrLe,Other,Negative,Stable,NoMajor,Moving,LV,LessThanAve,Increasing,LittleChange,Neutral,Dry,Dry,PartInhibit,Strong,May15_Jun14,DenvCyclone,HighEvrywher,DenvCyclone,LittleChange,None,Strong,StrongWest,SVR,Dry,Clear,AB,N5GtLIGt_8,Instability,MoreUnstable,Neutral,Neutral,Neutral,Neutral,Neutral,Clear,Weak,Marked,Strong,B,ABI,IncCapDecIns,Strong,B,MoreThanAve,MoreUnstable,B,SVR
LVorOther,PartInhibit,PC,Clear,Strong,SVR,SVR,Dry,CloseToDryAd,Other,Negative,CloseToDryAd,OtherRapid,None,AllElse,Average,Decreasing,LittleChange,VeryWet,Neutral,Wet,Stifling,Moderate,Jul2_Jul15,LongAnticyc,LowEvrywhere,None,Decreasing,Weak,None,Other,NIL,Neutral,Clear,CThruK,N1GtLIGt_4,Instability,MoreUnstable,WeakUp,StronUp,Neutral,Neutral,Neutral,Clear,Weak,Some,Strong,GJ,G,DecCapIncIns,None,G,LessThanAve,Average,G,NIL
LVorOther,PartInhibit,PC,PC,Weak,SIG,SIG,Average,Steep,Other,StrongPos,Steep,NoMajor,QStationary,LV,Average,Increasing,LittleChange,Dry,VeryWet,Neutral,PartInhibit,Strong,Aug20_Sep15,LV,LowAtStation,DryLine,Increasing,Strong,Strong,StrongWest,SIG,Wet,PC,CThruK,N1GtLIGt_4,Instability,MoreUnstable,StrongUp,WeakUp,Neutral,WeakUp,WeakUp,PC,Strong,Some,Weak,GJ,CDEJ,IncCapDecIns,Strong,J,Average,MoreUnstable,J,SIG
LVorOther,None,Clear,Clear,None,SIG,SIG,Average,ModerateOrLe,MoistMDryL,Neutral,CloseToDryAd,StrongFront,QStationary,LV,LessThanAve,LittleChange,SigNegative,VeryWet,Dry,Wet,PartInhibit,Weak,Jul16_Aug10,E_NE,LowMtsHighPl,E_W_S,LittleChange,None,None,StrongWest,NIL,Neutral,Clear,CThruK,N1GtLIGt_4,Stability,LessUnstable,Down,Neutral,Neutral,Neutral,Neutral,Clear,Weak,Some,Weak,HI,ABI,LittleChange,None,I,LessThanAve,LessUnstable,I,NIL
LVorOther,PartInhibit,PC,Cloudy,Strong,SIG,SIG,Average,Steep,MoistMDryL,WeakPos,Stable,NoMajor,Moving,LV,Average,Increasing,NegToPos,Neutral,Neutral,Neutral,PartInhibit,Moderate,Jul2_Jul15,DenvCyclone,LowAtStation,DryLine,LittleChange,None,Strong,DCVZFavor,NIL,VeryWet,PC,CThruK,LIGt0,Stability,LessUnstable,WeakUp,StronUp,Neutral,StrongUp,StrongUp,Cloudy,Weak,Marked,Strong,GJ,CDEJ,IncCapDecIns,Moderate,J,MoreThanAve,LessUnstable,J,NIL
LVorOther,PartInhibit,PC,Clear,None,SIG,SIG,Dry,ModerateOrLe,MoistMDryL,Negative,Steep,NoMajor,Other,LV,LessThanAve,Decreasing,LittleChange,Neutral,Wet,Neutral,PartInhibit,Moderate,Jul16_Aug10,LV,LowEvrywhere,DryLine,Decreasing,None,None,Other,SIG,Wet,PC,CThruK,N1GtLIGt_4,Instability,Average,WeakUp,StronUp,Neutral,WeakUp,WeakUp,PC,Weak,Some,Weak,GJ,CDEJ,DecCapIncIns,Moderate,J,LessThanAve,LessUnstable,J,NIL
LVorOther,PartInhibit,Clear,Clear,Strong,SIG,SIG,Average,ModerateOrLe,DryMMoistL,WeakPos,CloseToDryAd,NoMajor,QStationary,SWQuad,Average,Increasing,SigNegative,Wet,Dry,Neutral,None,Weak,Aug20_Sep15,E_NE,LowMtsHighPl,DenvCyclone,Increasing,None,Strong,StrongWest,NIL,Wet,Clear,CThruK,N1GtLIGt_4,Instability,MoreUnstable,Neutral,StronUp,Neutral,WeakUp,WeakUp,Cloudy,Weak,Marked,Strong,HI,ABI,IncCapDecIns,Moderate,I,Average,MoreUnstable,I,NIL
LVorOther,PartInhibit,Clear,Cloudy,Strong,NIL,NIL,Dry,ModerateOrLe,Other,Negative,ModerateOrLe,NoMajor,QStationary,LV,LessThanAve,Decreasing,LittleChange,Dry,Neutral,VeryWet,PartInhibit,Unfavorable,May15_Jun14,DenvCyclone,LowMtsHighPl,DryLine,Decreasing,None,Strong,Westerly,NIL,VeryWet,Clear,CThruK,N5GtLIGt_8,Stability,Average,Neutral,Neutral,Neutral,Neutral,Neutral,Clear,Weak,Some,Strong,GJ,CDEJ,DecCapIncIns,None,J,LessThanAve,LessUnstable,J,NIL
Westerly,PartInhibit,Clear,PC,Weak,SIG,SIG,Average,CloseToDryAd,DryMMoistL,Negative,ModerateOrLe,OtherRapid,Other,SWQuad,LessThanAve,LittleChange,PosToNeg,Neutral,Neutral,Neutral,PartInhibit,Weak,May15_Jun14,DenvCyclone,HighEvrywher,None,Decreasing,Strong,Weak,StrongWest,NIL,Neutral,PC,AB,N1GtLIGt_4,Instability,Average,StrongUp,Neutral,Down,Down,Down,PC,Strong,Marked,Strong,ACEFK,ABI,LittleChange,None,A,LessThanAve,Average,A,NIL
Westerly,PartInhibit,PC,PC,None,NIL,NIL,Average,ModerateOrLe,DryMMoistL,StrongPos,CloseToDryAd,NoMajor,None,LV,Average,Decreasing,SigPositive,Neutral,Neutral,Neutral,None,Moderate,Jul16_Aug10,LV,Other,E_W_S,Increasing,None,None,DCVZFavor,NIL,Neutral,PC,CThruK,N5GtLIGt_8,Stability,LessUnstable,WeakUp,Neutral,Neutral,Neutral,Neutral,PC,None,None,None,ACEFK,CDEJ,DecCapIncIns,Moderate,E,Average,Average,E,NIL
LVorOther,PartInhibit,Clear,Clear,Strong,SIG,SIG,Dry,ModerateOrLe,MoistMDryL,Negative,Steep,MarkedUpper,None,NWQuad,Average,LittleChange,LittleChange,Dry,Neutral,VeryWet,PartInhibit,Strong,Aug20_Sep15,LV,LowAtStation,DryLine,LittleChange,None,Strong,Westerly,NIL,VeryWet,PC,CThruK,N1GtLIGt_4,Neutral,Average,StrongUp,Neutral,StrongUp,StrongUp,StrongUp,Cloudy,Weak,Some,Strong,ACEFK,CDEJ,LittleChange,Strong,C,MoreThanAve,Average,C,NIL
LVorOther,Stifling,PC,Clear,None,SIG,NIL,Average,CloseToDryAd,DryMMoistL,StrongPos,Stable,NoMajor,Other,LV,MoreThanAve,Increasing,LittleChange,Neutral,Wet,Wet,PartInhibit,Weak,Aug11_Aug20,LV,LowAtStation,None,Increasing,Weak,None,Westerly,SIG,Neutral,PC,CThruK,N1GtLIGt_4,Instability,Average,StrongUp,Down,Neutral,WeakUp,WeakUp,PC,None,Some,Weak,GJ,CDEJ,IncCapDecIns,None,J,MoreThanAve,Average,J,SIG
LVorOther,None,PC,PC,Strong,SIG,SIG,VeryMoist,ModerateOrLe,Other,Negative,ModerateOrLe,NoMajor,None,AllElse,LessThanAve,Increasing,LittleChange,Neutral,VeryWet,Wet,PartInhibit,Moderate,Aug11_Aug20,LV,HighEvrywher,DenvCyclone,Decreasing,None,Weak,DCVZFavor,NIL,Neutral,PC,CThruK,N1GtLIGt_4,Stability,LessUnstable,Down,Neutral,StrongUp,Neutral,Neutral,PC,None,Marked,Strong,ACEFK,F,IncCapDecIns,None,F,MoreThanAve,LessUnstable,F,NIL
Westerly,Stifling,PC,Cloudy,Strong,SIG,SIG,Average,CloseToDryAd,MoistMDryL,Neutral,CloseToDryAd,OtherRapid,None,NWQuad,Average,LittleChange,PosToNeg,VeryWet,Wet,Wet,Stifling,Strong,Jun15_Jul1,LongAnticyc,LowEvrywhere,None,LittleChange,Strong,Strong,StrongWest,NIL,VeryWet,Cloudy,CThruK,N1GtLIGt_4,Instability,Average,StrongUp,Neutral,Down,Neutral,Neutral,Cloudy,Strong,Marked,Strong,GJ,G,LittleChange,Slight,G,Average,Average,G,NIL
Westerly,None,PC,Clear,Strong,SIG,SIG,VeryMoist,Steep,DryMMoistL,Neutral,CloseToDryAd,NoMajor,Moving,SWQuad,LessThanAve,Increasing,NegToPos,Neutral,Wet,Dry,PartInhibit,Moderate,Aug11_Aug20,DenvCyclone,LowMtsHighPl,E_W_S,Increasing,None,Strong,DCVZFavor,SIG,Dry,Clear,CThruK,N5GtLIGt_8,Stability,Average,Neutral,Neutral,Neutral,Neutral,Neutral,Clear,Weak,Marked,Strong,HI,ABI,IncCapDecIns,Slight,I,LessThanAve,Average,I,SVR
LVorOther,PartInhibit,Clear,PC,None,SIG,NIL,VeryMoist,Steep,Other,Neutral,Stable,MarkedUpper,Other,AllElse,Average,Decreasing,SigNegative,Dry,Wet,VeryWet,PartInhibit,Moderate,Aug20_Sep15,SEQuad,HighEvrywher,DenvCyclone,Decreasing,Weak,None,DCVZFavor,SIG,VeryWet,Clear,AB,N5GtLIGt_8,Stability,LessUnstable,Neutral,WeakUp,Neutral,Neutral,Neutral,Clear,Strong,None,None,ACEFK,ABI,DecCapIncIns,Strong,A,LessThanAve,LessUnstable,A,SIG
LVorOther,Stifling,Clear,Cloudy,Strong,SIG,SIG,Average,ModerateOrLe,MoistMDryL,Negative,CloseToDryAd,NoMajor,None,AllElse,MoreThanAve,LittleChange,SigNegative,Wet,Wet,Wet,PartInhibit,Weak,May15_Jun14,LV,LowSHighN,DryLine,LittleChange,Strong,Weak,DCVZFavor,SIG,Wet,PC,CThruK,N5GtLIGt_8,Stability,MoreUnstable,Neutral,Neutral,Neutral,Neutral,Neutral,PC,Strong,Marked,Strong,ACEFK,CDEJ,LittleChange,None,E,MoreThanAve,MoreUnstable,E,SIG
Westerly,PartInhibit,PC,Cloudy,None,SIG,NIL,VeryMoist,CloseToDryAd,DryMMoistL,Neutral,ModerateOrLe,OtherRapid,QStationary,SWQuad,Average,Increasing,SigNegative,Neutral,Dry,Dry,None,Strong,Aug20_Sep15,DenvCyclone,LowSHighN,Other,LittleChange,Strong,None,DCVZFavor,SIG,Dry,Cloudy,CThruK,N1GtLIGt_4,Stability,LessUnstable,WeakUp,Neutral,Down,Neutral,Neutral,Cloudy,Strong,None,None,HI,ABI,IncCapDecIns,Strong,I,Average,LessUnstable,I,SIG
LVorOther,None,Clear,PC,None,SVR,NIL,VeryMoist,ModerateOrLe,Other,Negative,Steep,StrongFront,QStationary,AllElse,LessThanAve,Increasing,LittleChange,Neutral,VeryWet,Neutral,None,Moderate,Jul16_Aug10,DenvCyclone,LowEvrywhere,MovingFtorOt,LittleChange,None,None,DCVZFavor,SVR,Dry,Clear,CThruK,N1GtLIGt_4,Stability,Average,Down,Neutral,WeakUp,Down,Down,Clear,Weak,Some,Weak,ACEFK,K,IncCapDecIns,Slight,K,Average,Average,K,SVR
LVorOther,PartInhibit,PC,PC,Strong,SIG,SIG,VeryMoist,Steep,DryMMoistL,WeakPos,ModerateOrLe,NoMajor,Other,AllElse,Average,Increasing,NegToPos,Dry,Wet,VeryWet,None,Weak,Jun15_Jul1,E_NE,LowMtsHighPl,MovingFtorOt,Increasing,None,None,Other,NIL,Wet,PC,CThruK,N1GtLIGt_4,Neutral,Average,Down,Down,Neutral,Down,Down,Clear,Weak,None,Strong,HI,H,IncCapDecIns,Moderate,H,MoreThanAve,MoreUnstable,H,NIL
LVorOther,PartInhibit,PC,Cloudy,None,SIG,NIL,Dry,CloseToDryAd,MoistMDryL,Neutral,CloseToDryAd,StrongFront,None,SWQuad,Average,Increasing,LittleChange,Neutral,Neutral,Dry,Stifling,Weak,Aug11_Aug20,WidespdDnsl,LowEvrywhere,None,LittleChange,Weak,None,DCVZFavor,SIG,Neutral,Clear,CThruK,N5GtLIGt_8,Neutral,Average,Down,Neutral,StrongUp,Neutral,Neutral,Clear,None,None,None,GJ,G,IncCapDecIns,Slight,G,MoreThanAve,Average,G,SIG
